FAMILY	NAME	FATHER	MOTHER	INDEX	NUMBER
Lyn2	Lyn2.23	Lyn2.7	Lyn2.9		23
Lyn2	Lyn2.24	Lyn2.-1	Lyn2.-1		24
Lyn2	Lyn2.25	Lyn2.7	Lyn2.9		25
Lyn2	Lyn2.26	Lyn2.7	Lyn2.9		26
Lyn2	Lyn2.27	Lyn2.25	Lyn2.21	1	27
Lyn2	Lyn2.28	Lyn2.25	Lyn2.21		28
Lyn2	Lyn2.29	Lyn2.24	Lyn2.20		29
Lyn2	Lyn2.30	Lyn2.24	Lyn2.20		30
Lyn2	Lyn2.31	Lyn2.24	Lyn2.20		31
Lyn2	Lyn2.32	Lyn2.24	Lyn2.20		32
Lyn2	Lyn2.33	Lyn2.-1	Lyn2.-1		33
Lyn2	Lyn2.34	Lyn2.27	Lyn2.31		34
Lyn2	Lyn2.35	Lyn2.27	Lyn2.31		35
Lyn2	Lyn2.36	Lyn2.27	Lyn2.31		36
Lyn2	Lyn2.37	Lyn2.27	Lyn2.31		37
Lyn2	Lyn2.38	Lyn2.30	Lyn2.33		38
Lyn2	Lyn2.39	Lyn2.30	Lyn2.33		39
Lyn2	Lyn2.40	Lyn2.30	Lyn2.33		40
Lyn2	Lyn2.41	Lyn2.30	Lyn2.33		41
Htz3	Htz3.0	Htz3.-1	Htz3.-1		0
Htz3	Htz3.1	Htz3.-1	Htz3.-1		1
Htz3	Htz3.2	Htz3.-1	Htz3.-1		2
Htz3	Htz3.3	Htz3.-1	Htz3.-1		3
Htz3	Htz3.4	Htz3.-1	Htz3.-1		4
Htz3	Htz3.5	Htz3.-1	Htz3.-1		5
Htz3	Htz3.6	Htz3.-1	Htz3.-1		6
Htz3	Htz3.7	Htz3.0	Htz3.1		7
Htz3	Htz3.8	Htz3.0	Htz3.1		8
Htz3	Htz3.9	Htz3.0	Htz3.1		9
Htz3	Htz3.10	Htz3.0	Htz3.1		10
Htz3	Htz3.11	Htz3.0	Htz3.1		11
Htz3	Htz3.12	Htz3.0	Htz3.1		12
Htz3	Htz3.13	Htz3.2	Htz3.3		13
Htz3	Htz3.14	Htz3.-1	Htz3.-1		14
Htz3	Htz3.15	Htz3.2	Htz3.3	1	15
Htz3	Htz3.16	Htz3.2	Htz3.3		16
Htz3	Htz3.17	Htz3.4	Htz3.5		17
Htz3	Htz3.18	Htz3.4	Htz3.5		18
Htz3	Htz3.19	Htz3.13	Htz3.11		19
Htz3	Htz3.20	Htz3.-1	Htz3.-1		20
Htz3	Htz3.21	Htz3.20	Htz3.19		21

